Rounds,Run,Accuracy,Precision,Recall,F1 Score
1,1,0.68225,0.7197,0.628775,0.6711
1,2,0.5974999999999999,0.587725,0.597425,0.59245
1,3,0.63875,0.6154999999999999,0.69105,0.651
1,4,0.5752499999999999,0.585675,0.540875,0.5621499999999999
1,5,0.5547500000000001,0.5589,0.5718,0.5652
2,1,0.62675,0.642175,0.587,0.613275
2,2,0.659,0.703625,0.5497,0.6172
2,3,0.5545,0.5434749999999999,0.64385,0.589325
2,4,0.5934999999999999,0.6165,0.474875,0.53645
2,5,0.67125,0.673225,0.67745,0.6751750000000001
3,1,0.6695,0.641575,0.756725,0.69435
3,2,0.62075,0.693125,0.46385,0.555675
3,3,0.62575,0.703025,0.466025,0.5603
3,4,0.7135,0.6920999999999999,0.744075,0.7168
3,5,0.6034999999999999,0.615225,0.5904,0.60245
4,1,0.5872499999999999,0.586375,0.59545,0.5906750000000001
4,2,0.52825,0.525025,0.6595500000000001,0.584625
4,3,0.64375,0.6236,0.7262,0.6708
4,4,0.608,0.634625,0.515775,0.56895
4,5,0.45075,0.4592,0.48760000000000003,0.4729
5,1,0.7092499999999999,0.694875,0.7488,0.72045
5,2,0.68925,0.717575,0.605725,0.6568
5,3,0.65075,0.6528,0.660975,0.656725
5,4,0.64425,0.6230249999999999,0.7220500000000001,0.668775
5,5,0.6595,0.667025,0.6267,0.6462
6,1,0.63675,0.61525,0.73975,0.6717
6,2,0.606,0.611675,0.54635,0.577
6,3,0.6194999999999999,0.60995,0.696625,0.650225
6,4,0.698,0.687325,0.732425,0.709
